Searching for directories that have exceeded 5 megabytes
    Size (mb)  Files  Directory
!       15.76     78  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\dlfermi0408
         0.42      7  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\execsumm
         0.01      1  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\execsumm\metsexecsumm_files
         0.01      1  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\execsumm\wikiexecsumm_files
         0.57     33  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\news01
         0.61     34  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\news01_02
         0.36     29  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\news02_01
         0.44     27  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\news02_02
         0.47     22  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\news03_01
         2.12     44  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\news04_01
         0.37     11  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\news04_02
         3.17     38  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\news05_01
         0.02      4  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\news05_01\washingtonnews5_files
         0.38     10  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\news05_02
         0.13      2  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\news05_02\doc
         1.14     13  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\news06_01
         1.55     22  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\pub109
         0.72      5  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\reports
         0.03      1  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\reports\DLFannum0405_files
!       57.84    681  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\scholinfo
!        8.74      7  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\scholinfo\data
         0.23      4  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\scholinfo\ebooks
!        7.65     48  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\scholinfo\excel
!        6.15     50  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\scholinfo\pdf
!        5.07     22  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\tei
         2.42     50  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\tei\images
         0.38     24  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\tei\images\Covey-originals
         4.52     33  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\tei\images\puglia-original
         3.10     10  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\tei\oldname
         1.47     26  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\trollcovey0509
         1.06     24  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\trollcovey0509\images
         0.14      2  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\waters051015
         0.00      1  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\reports
         0.40     12  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\roles
         0.74     12  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\sitemap
         0.14      8  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\staff
         1.07     49  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\standards
         0.16      8  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\standards\tei2
         0.44     20  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\stats
         0.51     64  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\stats\docs
         0.04      9  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\stats\examples
         0.00      4  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\stats\how-to
         0.20     11  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\stats\how-to\batch
         0.10     10  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\stats\how-to\iis
         0.01      1  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\stats\how-to\logrotat
         0.36     16  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\stats\how-to\startwin
         0.01      1  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\stats\how-to\vhosts1
         0.02    135  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\stats\images
         1.45    163  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\stats\lang
         0.00      0  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\stats\logs
         0.00      0  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\stats\logs\W3SVC4
!       60.66     17  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\test
         0.03      4  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\test\asp
         0.02      2  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\test\aspnet
         0.01      2  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\test\coldfusion
         0.03      2  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\test\forms
         0.25     63  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\test\images
         0.00      2  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\test\perl
         0.00      2  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\test\php
         0.00      2  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\test\python
         0.20      4  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\use
         0.05      1  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\use\scholars0406
         1.11      5  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\use\scholars0605
         0.00      0  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\webstats
         1.38     34  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\webstats\200501
         0.38     32  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\webstats\200502
         0.59     32  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\webstats\200503
         0.56     31  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\webstats\200504
!     1143.70  34393  SUB-TOTAL: C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\

!     1143.70  34393  TOTAL: C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\
