Searching for directories that have exceeded 5 megabytes
    Size (mb)  Files  Directory
         0.23     51  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2001\greenstein1_files
         0.18     45  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2001\greenstein2_files
         0.21     51  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2001\greenstein3_files
         0.18     49  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2001\greensteinintro_files
         1.81    173  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2001\kurthetal_files
         0.82    185  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2001\local-linking_files
         0.84    123  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2001\mackenzie_files
         0.31     75  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2001\metsjm_files
         0.94    146  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2001\ruddy_files
         0.71    197  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2001\thomas_files
         1.71    224  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2001\troll_files
         0.52     84  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2001\vandevelde_files
!        5.18     95  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2002
         2.65    175  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2002\dlf02talk_cdl_files
         1.71    167  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2002\DLF2002Rieger_files
         0.63     90  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2002\dlfform.nov2002_files
         1.05     96  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2002\dlfforum-metsmods_files
!        5.71    179  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2002\DLFforumNov02final_files
         0.79     91  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2002\DLFForumUpdate20021101_files
         1.18     94  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2002\dlf_presentation2_KLH_files
         1.89     96  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2002\forumpanel_files
         2.53    119  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2002\Mellon MetaScholar_files
         1.15    131  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2002\oaidlf6_files
         2.24    189  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2002\variations2-dlf-fall2002_files
         0.89     23  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2003
         0.00      1  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2003\abrams
         0.58    183  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2003\abrams\DLF-formats-Abrams_files
         0.53      3  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2003\arms
         0.88    127  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2003\arms\DLF-Formats-arms_files
         0.00      1  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2003\chandler
         2.23    197  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2003\chandler\schandlerdlf_files
         0.01      2  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2003\connaway
!        8.92    142  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2003\connaway\DLF_11-03_Post_files
         0.77    137  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2003\connaway\OCLC DLF 11-03_files
         0.01      1  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2003\cowles
         0.00      1  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2003\cruse
         1.15    168  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2003\cruse\cruse_dlf_fall03_files
         0.00      1  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2003\erway
         2.70    391  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2003\erway\DLF From aggregation to commerce_files
         0.03      3  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2003\fallforum03palm_files
         0.01      3  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2003\fallforum03quick_files
         0.03      4  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2003\fallforum03_files
         0.00      1  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2003\hoebelheinrich
         0.40     95  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2003\hoebelheinrich\dlf-hoebelheinrich_files
         0.01      2  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2003\jewell
